日期,开盘,最高,最低,收盘,成交量,成交额
2024-01-02,0.69,0.691,0.672,0.673,710615700,480991827
2024-01-03,0.671,0.676,0.664,0.669,626206500,418464917
2024-01-04,0.669,0.669,0.652,0.656,903361425,592725355
2024-01-05,0.653,0.659,0.646,0.648,574821800,375510457
2024-01-08,0.648,0.65,0.637,0.637,541233974,347178354
2024-01-09,0.64,0.645,0.634,0.638,496067076,316658099
2024-01-10,0.637,0.651,0.631,0.643,605836400,388948040
2024-01-11,0.643,0.651,0.638,0.648,536069297,346325490
2024-01-12,0.645,0.65,0.64,0.643,455590575,293991929
2024-01-15,0.639,0.646,0.636,0.637,439861400,281359598
2024-01-16,0.637,0.644,0.632,0.639,455817212,290694508
2024-01-17,0.637,0.637,0.618,0.619,624112652,390672470
2024-01-18,0.616,0.632,0.61,0.631,720285125,445874873
2024-01-19,0.627,0.638,0.625,0.633,548190772,346679216
2024-01-22,0.632,0.632,0.614,0.617,582217678,363663350
2024-01-23,0.617,0.624,0.611,0.619,508229000,313301608
2024-01-24,0.622,0.625,0.604,0.62,615164015,377670047
2024-01-25,0.618,0.635,0.614,0.633,821045330,513532719
2024-01-26,0.629,0.639,0.627,0.632,495784135,313373982
2024-01-29,0.632,0.647,0.631,0.636,765005906,488901412
2024-01-30,0.63,0.631,0.611,0.612,551489437,341571760
2024-01-31,0.61,0.617,0.603,0.604,443646112,269558091
2024-02-01,0.603,0.611,0.598,0.605,405766100,245481002
2024-02-02,0.605,0.618,0.584,0.602,670865194,406148590
2024-02-05,0.595,0.608,0.585,0.598,696798704,415788500
2024-02-06,0.598,0.629,0.596,0.628,828200900,510970510
2024-02-07,0.628,0.642,0.624,0.64,651564981,413582048
2024-02-08,0.643,0.65,0.634,0.641,600875940,385165079
2024-02-19,0.653,0.656,0.637,0.642,534524860,345460359
2024-02-20,0.641,0.644,0.629,0.634,358846335,227606595
2024-02-21,0.632,0.675,0.63,0.666,1123653020,739091047
2024-02-22,0.66,0.669,0.656,0.667,593569238,393446891
2024-02-23,0.665,0.679,0.661,0.671,586571440,393269027
2024-02-26,0.667,0.674,0.659,0.661,414230274,274898695
2024-02-27,0.658,0.666,0.656,0.665,509561322,336283697
2024-02-28,0.663,0.669,0.655,0.655,698338438,462792932
2024-02-29,0.652,0.672,0.65,0.671,721858711,479318665
2024-03-01,0.667,0.675,0.662,0.672,465700200,311640502
2024-03-04,0.67,0.671,0.661,0.665,550035250,365361384
2024-03-05,0.66,0.674,0.66,0.673,678387885,452969398
2024-03-06,0.669,0.671,0.66,0.663,449057943,297935916
2024-03-07,0.662,0.667,0.658,0.659,448700346,297138057
2024-03-08,0.658,0.662,0.649,0.655,544783343,356472473
2024-03-11,0.654,0.672,0.654,0.672,684125258,456096989
2024-03-12,0.672,0.706,0.672,0.704,1307439284,908370660
2024-03-13,0.7,0.706,0.694,0.701,588818473,412374483
2024-03-14,0.697,0.71,0.693,0.699,551288696,386371712
2024-03-15,0.696,0.71,0.695,0.704,446233717,313529881
2024-03-18,0.701,0.704,0.694,0.704,451837336,316653139
2024-03-19,0.702,0.718,0.698,0.712,699289574,497812349
2024-03-20,0.708,0.712,0.705,0.709,341971178,242371762
2024-03-21,0.71,0.719,0.707,0.712,401381538,285898172
2024-03-22,0.711,0.711,0.691,0.696,514194043,358473849
2024-03-25,0.692,0.695,0.684,0.689,374658975,258380190
2024-03-26,0.69,0.702,0.688,0.7,542203088,377883881
2024-03-27,0.699,0.702,0.689,0.691,399623539,277760503
2024-03-28,0.688,0.7,0.686,0.692,388378800,269120794
2024-03-29,0.69,0.695,0.686,0.691,339131500,234110393
2024-04-01,0.695,0.717,0.694,0.71,696742696,493675188
2024-04-02,0.709,0.711,0.703,0.706,442883831,313139366
2024-04-03,0.709,0.714,0.701,0.706,394427191,278974408
2024-04-08,0.701,0.701,0.677,0.678,615023908,419704409
2024-04-09,0.675,0.683,0.673,0.679,334122200,226215726
2024-04-10,0.678,0.679,0.664,0.668,542450000,362709704
2024-04-11,0.664,0.669,0.662,0.669,371355060,247107108
2024-04-12,0.668,0.673,0.656,0.658,391718349,259591843
2024-04-15,0.656,0.681,0.655,0.678,565524853,380722089
2024-04-16,0.675,0.677,0.664,0.666,374093900,250516287
2024-04-17,0.666,0.67,0.663,0.669,353972904,236114797
2024-04-18,0.667,0.678,0.661,0.67,414138700,277765718
2024-04-19,0.665,0.666,0.655,0.659,419313043,276520344
